,cd0,cd_q,cd_de
-15,0.09160619,-0.0023452938,0.0017213002
-12,0.06378118,-0.0007870011,0.0010914207
-9,0.045407064,0.00047718175,0.00048337132
-6,0.03590568,0.0012136027,5.800277e-05
-3,0.03137695,0.0011748262,-0.00019044429
0,0.02990859,0.0002536066,-0.000549756
3,0.03134697,-0.0011160746,-0.0012046993
6,0.036545403,-0.0012289565,-0.0019933283
9,0.04698027,0.0012528095,-0.0026932806
12,0.064427905,0.0018547289,-0.0032140985
15,0.09037506,0.0008238014,-0.0035647675
18,0.12505224,0.00017458387,-0.0037873685
