alpha,cy_b,cy_p,cy_r,cy_da,cy_de,cy_dr,croll_b,croll_p,croll_r,croll_da,croll_de,croll_dr,cn_b,cn_p,cn_r,cn_da,cn_de,cn_dr,cd0,cd_q,cd_de,clift0,clift_q,clift_de,cm0,cm_q,cm_de
-18,-0.0224,0.001,0.031,0.000654117,-0.000308499,0.004840201,0.0011,-0.003,0,-0.002095022,0.000823453,0.0022,-0.00142,0,-0.074,-0.0007,-0.0002329,-0.0043,0.124,-0.001,0.0025,-0.292,0.032,0.0056,-0.359,-0.074,-0.0058
-15,-0.0223,0,0.032,0.001090667,-0.000449327,0.004892184,0.0008,-0.004,0,-0.002128414,0.000722106,0.0021,-0.00147,0,-0.075,-0.0004,-0.0001993,-0.0048,0.091,-0.002,0.0018,-0.233,0.032,0.0054,-0.314,-0.075,-0.0053
-12,-0.0209,0,0.031,0.001202175,-0.000529434,0.004765664,0.0007,-0.003,0,-0.00192067,0.000592814,0.0018,-0.00163,0,-0.074,-0.0004,-0.0001276,-0.0044,0.064,-0.001,0.0011,-0.177,0.031,0.005,-0.263,-0.073,-0.0048
-9,-0.0189,0,0.029,0.001043868,-0.000470695,0.004689026,0.0005,-0.003,0,-0.001744699,0.000559285,0.0015,-0.00182,0,-0.072,-0.0003,-0.0000008,-0.0041,0.044,0.001,0.0004,-0.123,0.029,0.0044,-0.206,-0.071,-0.0042
-6,-0.0158,0,0.027,0.000799772,-0.000290607,0.00469141,0.0002,-0.003,0,-0.001715315,0.000605661,0.0012,-0.0021,0,-0.07,-0.0002,0.0001656,-0.0043,0.035,0.002,0.0001,-0.077,0.026,0.0041,-0.141,-0.069,-0.0038
-3,-0.0128,0,0.024,0.000647598,-0.0000574,0.004728002,0,-0.003,0,-0.002617956,0.000667938,0.0009,-0.00234,0,-0.067,-0.0002,0.0003403,-0.0047,0.031,0.001,-0.0002,-0.034,0.022,0.004,-0.073,-0.065,-0.0038
0,-0.0109,0,0.021,0.000684106,0.000150319,0.004749297,0,-0.002,0,-0.00616032,0.000696547,0.0005,-0.00251,0,-0.065,-0.0004,0.0004893,-0.0048,0.03,0,-0.0005,0,0.021,0.0044,0,-0.065,-0.0042
3,-0.0128,0,0.024,0.000899988,0.000274283,0.004730812,0,-0.003,0,-0.002652454,0.000681537,0.0002,-0.00234,0,-0.067,-0.0008,0.0005839,-0.0046,0.031,-0.001,-0.0012,0.034,0.025,0.005,0.073,-0.068,-0.0048
6,-0.0158,0,0.027,0.001192532,0.000293808,0.004677275,-0.0002,-0.003,0,-0.001295412,0.000645902,-0.0002,-0.0021,0,-0.07,-0.0013,0.0006056,-0.0043,0.035,-0.002,-0.0021,0.077,0.028,0.0054,0.141,-0.071,-0.0054
9,-0.0189,0,0.029,0.001403553,0.000228826,0.004612752,-0.0005,-0.003,0,-0.001248,0.00062131,-0.0006,-0.00182,0,-0.072,-0.0017,0.0005477,-0.0043,0.044,0.001,-0.0028,0.123,0.03,0.0056,0.206,-0.073,-0.0056
12,-0.0209,0,0.031,0.001369279,0.000129223,0.004565725,-0.0007,-0.003,0,-0.001161523,0.000623655,-0.0009,-0.00163,0,-0.074,-0.002,0.0004192,-0.0045,0.064,0.002,-0.0032,0.177,0.032,0.0054,0.263,-0.075,-0.0056
15,-0.0223,0,0.032,0.000968123,0.0000535,0.004555584,-0.0008,-0.004,0,-0.00058,0.000643575,-0.001,-0.00147,0,-0.075,-0.0019,0.0002479,-0.0046,0.091,0.001,-0.0036,0.233,0.032,0.005,0.314,-0.075,-0.0055
18,-0.0224,-0.001,0.031,0.000151468,0.0000417,0.004584518,-0.0011,-0.003,0,-0.000232333,0.000659248,-0.0011,-0.00142,0,-0.074,-0.0015,0.0000835,-0.0045,0.124,0,-0.0039,0.292,0.03,0.0045,0.359,-0.073,-0.0052
21,-0.0218,-0.001,0.029,-0.001058173,0.0000899,0.004636285,-0.0011,-0.003,0,0.000192628,0.000665557,-0.0011,-0.0014,0.001,-0.072,-0.001,-0.0000092,-0.0042,0.162,0,-0.0042,0.35,0.029,0.0038,0.398,-0.071,-0.0048
24,-0.0209,-0.001,0.027,-0.00261806,0.00013463,0.004680819,-0.0011,-0.003,0.001,0.000415508,0.000694888,-0.0013,-0.0014,0.001,-0.07,-0.0004,0.0000211,-0.004,0.206,0,-0.0043,0.406,0.027,0.0031,0.431,-0.069,-0.0043
27,-0.0199,-0.001,0.025,-0.004582388,0.0000599,0.004681144,-0.0011,-0.003,0.001,0.00128,0.000780631,-0.0016,-0.00139,0.001,-0.068,0.0002,0.0001409,-0.0039,0.257,0,-0.0042,0.461,0.024,0.0024,0.456,-0.067,-0.0038
30,-0.0187,-0.001,0.023,-0.007303702,-0.000261492,0.004596567,-0.0011,-0.002,0.001,0.00223336,0.000784664,-0.0021,-0.00138,0.001,-0.066,0.0011,0.0000878,-0.0035,0.312,0,-0.0041,0.514,0.022,0.0015,0.472,-0.065,-0.0032
